IDS,Initial access resistance,Temperature,Subject ID,Subject Age,Subject Sex,Subject Breed,Tissue Origin
M01_CN_A1_C02,NaN,NaN,M01,?,?,?,PFC
M01_CN_A2_C05,NaN,NaN,M01,?,?,?,PFC
M01_CN_A3_C09,NaN,NaN,M01,?,?,?,PFC
M01_CN_A4_C10,NaN,NaN,M01,?,?,?,PFC
M01_CN_A4_C11,NaN,NaN,M01,?,?,?,PFC
M01_CN_A4_C12,NaN,NaN,M01,?,?,?,PFC
M01_CN_A5_C13,NaN,NaN,M01,?,?,?,PFC
M01_CN_A5_C14,NaN,NaN,M01,?,?,?,PFC
M01_CN_A5_C15,NaN,NaN,M01,?,?,?,PFC
M01_JS_A2_C03,NaN,NaN,M01,?,?,?,PFC
M01_JS_A2_C05,NaN,NaN,M01,?,?,?,PFC
M01_JS_A3_C06,NaN,NaN,M01,?,?,?,PFC
M01_JS_A3_C07,NaN,NaN,M01,?,?,?,PFC
M01_JS_A4_C11,NaN,NaN,M01,?,?,?,PFC
M01_JS_A5_C12,NaN,NaN,M01,?,?,?,PFC
M01_JS_B1_C14,NaN,NaN,M01,?,?,?,PFC
M01_JS_B1_C15,NaN,NaN,M01,?,?,?,PFC
M01_JS_B2_C17,NaN,NaN,M01,?,?,?,PFC
M01_JS_B2_C18,NaN,NaN,M01,?,?,?,PFC
M01_JS_B3_C21,NaN,NaN,M01,?,?,?,PFC
M01_MW_D1_C01,NaN,NaN,M01,?,?,?,PFC
M01_MW_D1_C02,NaN,NaN,M01,?,?,?,PFC
M01_MW_D2_C03,NaN,NaN,M01,?,?,?,PFC
M01_MW_D2_C05,NaN,NaN,M01,?,?,?,PFC
M01_MW_D3_C07,NaN,NaN,M01,?,?,?,PFC
M01_MW_D4_C10,NaN,NaN,M01,?,?,?,PFC
M01_MW_D4_C11,NaN,NaN,M01,?,?,?,PFC
M01_MW_D5_C12,NaN,NaN,M01,?,?,?,PFC
M01_MW_D5_C13,NaN,NaN,M01,?,?,?,PFC
M01_MW_D5_C14,NaN,NaN,M01,?,?,?,PFC
M01_SM_A1_C02,NaN,NaN,M01,?,?,?,PFC
M01_SM_A1_C03,NaN,NaN,M01,?,?,?,PFC
M01_SM_A2_C04,NaN,NaN,M01,?,?,?,PFC
M01_SM_A2_C05,NaN,NaN,M01,?,?,?,PFC
