short From,long Form,unit,description
Vrest,resting membrane potential of the cell,mV,baseline membrane potential determined as mean of the prestimulus interval
RinHD,input resistance based on highest deflection,MegaOhm,slope of linear fit of IU curve determined by membrane potential deflection of hyperpolarizing current steps of long pulse protocol
RinSS,input resistance based on steady state,MegaOhm,slope of linear fit of IU curve determined by membrane potential deflection of hyperpolarizing current steps of long pulse protocol of membrane  hyperpolarizing current steps of long
tau,membrane time constant,ms,determined per sweep  of hyperpolarizing current steps of long pulse protocol; calculated as time point when exponential fit of membrane potential deflection from stimulus onset to highest deflection reaches level of 66%; averaged from up to first three lowest sweeps 
Rheo,Rheobase,pA,lowest amount of current  in long pulse protocol to elicit an action potential
sagVrest,sag resting membrane potential,mV,resting membrane potential of the sag sweep
sag,sag,mV,difference in membrane potential between steady state and highest deflection
sagRat,sag ratio,none,(sag + steady state depolarization) divided by steady state depolarization; with no sag the sag ratio is 1; a sag ratio of 1.5 means that the sag is half of the steady state depolarization
sagAmp,sag  amplitude,pA,current amplitude of the sag sweep
widTP_LP,action potential width (threshold to peak) of long pulse protocol,ms,width at half-amplitude (threshold to peak) of the (first) action potential of rheobase sweep  
peakLP,peak of action potential of long pulse protocol,mV,peak of the action potential based on the (first) rheobase action potential 
thresLP,threshold  of action potential of long pulse protocol,mV,threshold of the (first) rheobase action potential determined as membrane potential at which slope a certain percentage of the peak slope of the rising phase is reached (set in loadParams PS.pcentMaxdVdt)
fTrghLP,fast trough of long pulse protocol,mV,minum membrane potential within 1.5 ms after the (first) rheobase action potential has reached the threshold level again
sTrghLP,slow trough of long pulse protocol,mV,minum membrane potential after the (first) rheobase action potential has reached the threshold level again
peakUpStrkLP,peak up stroke of long pulse protocol,mV/ms,maximum slope of the rising phase of the (first) rheobase sweep
peakDwStrkLP,peak down stroke of long pulse protocol,mV/ms,minimum slope of the repolarization phase of the  (first) rheobase sweep
peakStrkRatLP,peak stroke ratio of long pulse protocol,none,Ratio of peak slopes of rising and repolarization phase based on the (first) rheobase sweep
htTP_LP,height of action potential considering threshold to peak of long pulse protocol,mV,difference in membrane potential between threshold and peak of the (first) rheobase action potential
lat,latency,ms,time distance between threshold of (first) spike and stimulus onset of rheobase sweep 
CurrentStepSP,applied current at first suprathreshold short pulse sweep ,pA,lowest amount of current  in short pulse protocol to elicit an action potential
thresholdSP,threshold of the first supratheshold short pulse action potential,mV,threshold of the action potential of first suprathreshold short pulse sweep determined as membrane potential at which slope a certain percentage of the peak slope of the rising phase is reached (set in loadParams PS.pcentMaxdVdt)
fastTroughSP,fast trough of short pulse protocol,ms,minum membrane potential within 1.5 ms after the action potential of first suprathreshold short pulse sweep has reached the threshold level again
slowTroughSP,slow trough of short pulse protocol,ms,minum membrane potential after the action potential of first suprathreshold short pulse sweep has reached the threshold level again
heightTP_SP,height of action potential considering threshold to peak of short pulse protocol,mV,height of the first supratheshold short pulse action potential based on threshold to peak
peakUpStrokeSP,peak up stroke of short pulse protocol,mV/ms,maximum slope of the rising phase of the first supratheshold short pulse action potential
peakDownStrokeSP,peak down stroke of short pulse protocol,mV/ms,minimum slope of the repolarization phase of the first supratheshold short pulse action potential
peakStrokeRatioSP,peak stroke ratio of short pulse protocol,none,Ratio of peak slopes of rising and repolarization phase based on the first supratheshold short pulse action potential
latencySP,latency of short pulse,ms,time distance between threshold of first supratheshold short pulse action potential
